Category,Crop,QueryType,QueryText,KccAns,Refer
Vegetables,Ash Gourd,Varieties,Information Regarding Ash Gourd varietiy PAG-3 (2003) ?,"PAG-3 (2003): The medium-length vines have green leaves. The fruits are appealing, spherical, and of average size. From planting until harvesting, 145 days pass. Fruits weigh 10 kg on average and produce 120 q/acre on average.
 ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Varieties,Information Regarding Ash Gourd varietiey Kashi Surbhi?,"Kashi Surbhi: Fruits oblong, ellipsoid, rind greenish white, flesh white; Average fruit weight 10-12.kg; Fruits are suitable for long distance transportation; It has yield potential of 240 q/acre (Kharif season) and 210-200 q/acre (summer season). ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Varieties,Information Regarding Ash Gourd varietiey Kashi Dhawal?,"Kashi Dhawal: This variety is derived from a local collection. The vine length is 7.5-8 m. Fruits are oblong, flesh white, thickness 8.5-8.7 cm, seed arrangements linear, average weight 11-12 kg crop duration 120 days and yield 230-240 q/ha. This is suitable for preparation of Petha sweets due to high flesh recovery. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd field preparation?,"To bring soil to fine tilth, carryout ploughing operation for three-fourth time. Before last ploughing add, well decomposed cowdung@20kg along with neem cake@40kg/acre. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd spacing?,"Sow two seeds per hill on one side of bed which is 3 m wide and use spacing of 75-90 cm.
 ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd sowing depth?,Sowing Depth: Seeds are sown at depth of 1-2 cm. ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd sowing method?,"In ash guard, Seeds are directly sown on bed.

 ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Seeds,Information Regarding Ash Gourd seeds management?,"Seed rate of 2 kg is sufficient for one acre land.
To protect seeds from soil borne fungus, treat seeds with Carbendazim@2gm/kg of seeds. After chemical treatment, treat seeds with Trichoderma Viride@4gm/kg of seeds or Pseudomonas fluroscens@10gm/kg of seeds. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Seeds,Information Regarding Ash Gourd seeds treatment?,"To protect seeds from soil borne fungus, treat seeds with Carbendazim@2gm/kg of seeds. After chemical treatment, treat seeds with Trichoderma Viride@4gm/kg of seeds or Pseudomonas fluroscens@10gm/kg of seeds. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Fertilizer Uses,Information Regarding Ash Gourd fertilizer use?," It required Nitrogen@40kg in form of Urea@90kg/acre, Phosphorus@20kg in form of SSP@125kg/acre and Potash@20kg in form of MOP@35kg/acre. Apply half dose of Nitrogen and full dose of Phosphorus and Potash at time of bed preparation. Apply remaining dose of Nitrogen when crop is at flowering stage ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Weed Management,Information Regarding Ash Gourd weed management?,"Depending upon weed intensity, carry out hand or hoe weeding operation. Mulching is best way to keep check on weed growth along with water saving ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Water Management,Information Regarding Ash Gourd water management?,"Depending upon climate, soil type, in summer season provide irrigation with interval of 7-10 days. In rainy season provide irrigation depending upon rainfall frequency.  ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Plant Protection,Information Regarding Leef beetles control in ash gourd?,"Leef beetles: If infestation is observed, to controlled take spray of Malathion 50EC@1ml/ltr or Dimethoate 30EC@2ml/lit of water. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Plant Protection,Information Regarding Aphid control in ash gourd?,"Aphid: If infestation is observed, take spray of Imidacloprid@0.5ml/ltr of water.
  ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Plant Protection,Information Regarding Powdery Mildew control in ash gourd?,"Patchy, white powdery growth appear on upper surface of leaves also on main stem of infected plant. It parasitizes the plant using it as a food source. In severe infestation it causes defoliation and premature fruit ripening.
If infestation is observed take spray of Dinocap@1ml/lit or Carbendazim@0.5gm/lit of water. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Plant Protection,Information Regarding Downy mildew control in ash gourd?,"Downy mildew: If infestation is observed, take spray of Mancozeb or Chlorothalonil@2gm/ltr of water, two times with 10 days interval. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information Regarding Ash Gourd harvesting?,"Depending upon variety, crop is ready for harvesting in 90-100 days. Depending upon market requirement, fruits can be harvested at immature or mature stage. Mature fruits are mostly stored for seed production purpose. Cut the fruits from vines with help of sharp knife. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Seeds,Information Regarding Ash seeds production?,"For seed production purpose, sow seeds in February-March month. Disease or unwanted crops are remove at time of flowering, fruiting and maturity stage. When fruits and stem surface give white waxy appearance, fruits are ready for harvesting. Seeds are separated and then wash with water. Wash seeds are dry and then clean before storing. Seeds are store in low temperature and low humidity conditions. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Nutrient Management,Information regarding Ash gourd foliar application information?,5g of Porus mix with water anf apply in the plant.   ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Cultural Practices,Information regarding suitable soil for ash gourd cultivation?,"Ash gourd thrives on all types of soil. But loam, sandy loam and clay loam are best suited for its cultivation. The optimum pH is 6.5-7.5. The land is prepared by ploughing the soil for 3 to 4 times.   ","[Reference: www.data.gov.in, Kisan Calling Center Dataset]"
Vegetables,Ash Gourd,Plant Protection,"Information regarding Aphid , White fly and Leaf caterpillar control management in Ash gourd?", Spray 1.5 ml of water in Cibron with a liter of water.  ,"[Reference: www.data.gov.in, Kisan Calling Center Dataset]"
Vegetables,Ash Gourd,Cultural Practices,Information regarding ash gourd maturity index detail?,"The fruit of the skin and the flesh will change, the pale yellow color will change and the stem will be contraction, and the fruit will be a normal sound.   ","[Reference: www.data.gov.in, Kisan Calling Center Dataset]"
Vegetables,Ash Gourd,Nutrient Management,Information Regarding necessary nutrition of Ash Gourd?,"NITROGEN--40kg/acre, PHOSPHORUS --20kg/acre, POTASH--20 kg/acre
 ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Ash Gourd,Fertilizer Uses,Information Regarding fertilizer requirement in Ash Gourd?,"UREA--90kg/acre, SSP--135kg/acre,MURIATE OF POTASH--35 kg/acre
 ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Cultural Practices,Information Regarding Turnip Crop?,"It is hardy cool weather crop belongs to family of Brassicaceae. It is grown for its roots as well as for green leaves. Turnip root is rich source of Vitamin C where as its leaves are rich source of Vitamin A, Vitamin C, Vitamin K, foliate and Calcium. It is grown in temperate, tropical as well as sub-tropical region of India. Commonly grown turnip is of white color. Bihar, Punjab, Haryana, Himachal Pradesh and Tamil Nadu are major turnip growing states in India.

 ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Cultural Practices,Information Regarding Turnip sowing time?,August-September is best time for sowing desi varieties whereas October-November month is ideal for European varieties.   ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Cultural Practices,Information Regarding Turnip suitable time?,August-September is best time for sowing desi varieties whereas October-November month is ideal for European varieties.   ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Cultural Practices,Information Regarding Turnip suitable temparature?,"The suitable temparature: Sowing Temparature- 18-23 degree, Normal Temperature- 12-30 degree,Harvesting Temperature- 20-15 degree,Rainfall- 200-400cm ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Cultural Practices,Information Regarding Turnip soil management?,"It can be grown on variety of soil but turnip give best result when grown on loamy soils rich in organic matter. Avoid heavy or compact soils also very light soils as it produce rough, malformed roots. Ideal pH of soil for good growth is 5.5 to 6.8. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Varieties,Information Regarding Turnip varieties?,"L 1: Ready to harvest in 45 to 60days after sowing. Its roots are round and pure white, smooth and crisp with mild flavour. It gives an average yield of 105qtl of roots per acre.

Punjab Safed 4: Recommended for cultivation in Punjab and Haryana. Its roots are pure white, round and medium sized with mild taste.

Also, Pusa Kanchan,Pusa Sweti,Pusa Chandrima,Purple top white globe,Golden Ball,Snowball,Pusa Swarnima  are famous varieties of turnip ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Varieties,Information Regarding L-1 Turnip varieties?,"L 1: Ready to harvest in 45 to 60days after sowing. Its roots are round and pure white, smooth and crisp with mild flavour. It gives an average yield of 105qtl of roots per acre.

Punjab Safed 4: Recommended for cultivation in Punjab and Haryana. Its roots are pure white, round and medium sized with mild taste.

Also, Pusa Kanchan,Pusa Sweti,Pusa Chandrima,Purple top white globe,Golden Ball,Snowball,Pusa Swarnima  are famous varieties of turnip ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Varieties,Information Regarding punjab safed-4 turnip varieties?,"Punjab Safed 4: Recommended for cultivation in Punjab and Haryana. Its roots are pure white, round and medium sized with mild taste. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Cultural Practices,Information Regarding Turnip field preparation?,Plough land thoroughly and make land weed and clods free. Add well decomposed cow dung of 60-80 qtl/acre and mix well in soils at the time of land preparation. Avoid use of undecomposed or free cowdung as it will leads to forking of fleshy roots.  ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Cultural Practices,Information Regarding Turnip spacing?,Spacing: Use row to row spacing of 45 cm and plant to plant spacing of 7.5 cm. ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Cultural Practices,Information Regarding Turnip sowing depth?,Sowing Depth: Sow seeds at depth of 1.5 cm. ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Cultural Practices,Information Regarding Turnip sowing method?,"Method of Sowing: Direct sowing on bed, in lines or on ridge. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Seeds,Information Regarding Turnip seeds management?,Seed Rate: For sowing of one acre land seed rate of 2-3 kg is sufficient.  ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Seeds,Information Regarding Turnip seeds treatment?,Seed treatment: Before sowing treat seed with Thiram@3gm per kg of seeds to protect crop from crown rot. ,"[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Seeds,Information Regarding Turnip seed production?,"For seed purpose, sow seeds of turnip in mid-September and then transplant seedling in first week of December. Use spacing of 45 cm x15 cm. Apply N@30 kg (in form of Urea@65 kg) and P@8 kg (in form of SSP@50 kg) per acre. At time of sowing apply whole amount of Phosphorus and half amount of Nitrogen. Apply remaining amount of Nitrogen, 30 days after sowing. Carry out harvesting when 70% pods changes its color to light yellow. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Fertilizer Uses,Information Regarding Turnip fertilizer use?,"Amount of fertilizer to be applied is vary from place to place as it depend upon various factor like climate, soil type, fertility status etc.Along with well decomposed cowdung, apply Nitrogen@25 kg (in the form of Urea@55 kg), Phosphorus@12 kg (in the form of SSP@ 75 kg/acre) per acre in soil at time of sowing. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Weed Management,Information Regarding Turnip weed management?,"10-15 days after germination, carry out thinning operation. Take interculture operation like weeding and hoeing to keep check on weed growth also to provide soil aeration. Take one weeding operation, two to three weeks after sowing. After weeding, carryout earthing operation. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Water Management,Information Regarding Turnip water management?,"After sowing, apply first irrigation, it will help in good germination. Depending upon soil type and climate, apply remaining irrigations at the interval of 6-7 days in summer and 10-12 days interval in winter month. Overall turnip required five to six irrigations. Avoid excessive irrigation as it will leads ugly shape of roots and numerous hair growth. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Cultural Practices,Information Regarding Turnip harvesting?,"Depending upon variety uproot turnip roots after attaining marketable size i.e. when they are 5-10 cm in diameter. Generally roots are reached to marketable size in 45-60 days i.e. depending upon variety after sowing. Delay in harvesting will leads to tough and fibrous root formation. Carry out harvesting in evening time. After harvesting, roots along with green tops are washed with water. They are filled into the basket and then sent to market. Under cool and moist condition, roots can be stored for 2-3 days where as they can store for 8-15 week at 0-5  temperature with 90-95% relative humidity. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Plant Protection,Information Regarding Crown rot control in ash gourd?,"As a preventive measure, before sowing treat seed with Thiram@3 gm per kg of seeds. 7th and 15th day after sowing, drenched soil around seedlings with Captan@200 gm in 100 ltrs water. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Nutrient Management,Information Regarding necessary nutrition of Turnip?,"NITROGEN--25kg/acre, PHOSPHORUS --12kg/acre, POTASH--0 kg/acre
 ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Turnip,Fertilizer Uses,Information Regarding fertilizer requirement in Turnip?,"UREA--55kg/acre, SSP--75kg/acre,MURIATE OF POTASH--0 kg/acre
 ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Tomato,Cultural Practices,Information Regarding Tomato Crop?,"Tomato is originated in Peru of South America. It is important commercial vegetable crop of India. It is the second most important crop of world after potato. Fruits are eaten raw or in cooked form. It is rich source of vitamin A, C, potassium and minerals. It is used in soup, juice and ketch up, powder. The major tomato producing states are Bihar, Karnataka, Uttar Pradesh, Orissa, Maharashtra, Andhra Pradesh, Madhya Pradesh and West Bengal. In Punjab state, Amritsar, Ropar, Jalandhar, Hoshiarpur are tomato growing districts. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Tomato,Cultural Practices,Information Regarding tomato sowing time?,"For northern state, tomato cultivation for spring season is done in late November and transplanted in second fortnight of January. For autumn crop, sowing is done in July - August and transplanted in August - September. In hilly areas sowing is done in March- April and transplantation is done in April -May. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Tomato,Cultural Practices,Information Regarding tomato suitable time?,"For northern state, tomato cultivation for spring season is done in late November and transplanted in second fortnight of January. For autumn crop, sowing is done in July - August and transplanted in August - September. In hilly areas sowing is done in March- April and transplantation is done in April -May. ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Tomato,Cultural Practices,"Information regarding transplanting time of Tomato?
"," Season of transplanting-Augest.-September, December.-February ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Tomato,Cultural Practices,Information regarding Harvesting time of Tomato?,"Season of Harvest- October-December, and April-June  ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
Vegetables,Tomato,Cultural Practices,Information Regarding tomato suitable temparature?,"The suitable temparature: Sowing Temparature- 10-15 degree, Normal Temperature- 10-25 degree,Harvesting Temperature- 15-25 degree,Rainfall- 400-600cm ","[Reference: www.apnikheti.com,  Punjab Agricultural University Ludhiana, Department of Agriculture, Indian Agricultural Research Institute New Delhi,Indian Institute of Wheat and Barley Research, Ministry of Agriculture & Farmers Welfare]"
